Name	Taste	Reference	SMILES	Canonical SMILES	Sweet
Sucrose	Sweet	Rojas et al. (2017)	OCC1OC(C(C1O)O)(CO)OC1OC(CO)C(C(C1O)O)O	OCC1OC(C(C1O)O)(CO)OC1OC(CO)C(C(C1O)O)O	True
Sucralose / 4,1',6'-Trichloro-galactosucrose	Sweet	Rojas et al. (2017)	ClCC1OC(C(C1O)O)(CCl)OC1OC(CO)C(C(C1O)O)Cl	ClCC1OC(C(C1O)O)(CCl)OC1OC(CO)C(C(C1O)O)Cl	True
Aspartame/Aspartyl-phenylalanine methylester	Sweet	Rojas et al. (2017)	COC(=O)C(NC(=O)C(CC(=O)O)N)Cc1ccccc1	COC(=O)C(NC(=O)C(CC(=O)O)N)Cc1ccccc1	True
Tagatose	Sweet	Rojas et al. (2017)	OCC1(O)OCC(C(C1O)O)O	OCC1(O)OCC(C(C1O)O)O	True
Isomaltulose/Palatinose	Sweet	Rojas et al. (2017)	OCC1OC(OCC2OC(C(C2O)O)(O)CO)C(C(C1O)O)O	OCC1OC(OCC2OC(C(C2O)O)(O)CO)C(C(C1O)O)O	True
Trehalose	Sweet	Rojas et al. (2017)	OCC1OC(OC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)O	OCC1OC(OC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)O	True
Acesulfame potassium	Sweet	Rojas et al. (2017)	CC1=CC(=O)[N-]S(=O)(=O)O1.[K+]	O=C1C=C(C)OS(=O)(=O)[N-]1.[K+]	True
Sodium cyclamate	Sweet	Rojas et al. (2017)	C1CCC(CC1)NS(=O)(=O)[O-].[Na+]	[O-]S(=O)(=O)NC1CCCCC1.[Na+]	True
Neohesperidine dihydrochalcone	Sweet	Rojas et al. (2017)	OCC1OC(Oc2cc(O)c(c(c2)O)C(=O)CCc2ccc(c(c2)O)OC)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O	OCC1OC(Oc2cc(O)c(c(c2)O)C(=O)CCc2ccc(c(c2)O)OC)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O	True
Neotame	Sweet	Rojas et al. (2017)	COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NCCC(C)(C)C	COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NCCC(C)(C)C	True
Sodium saccharin	Sweet	Rojas et al. (2017)	C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]	O=C1[N-]S(=O)(=O)c2c1cccc2.[Na+]	True
Sorbitol	Sweet	Rojas et al. (2017)	OCC(C(C(C(CO)O)O)O)O	OCC(C(C(C(CO)O)O)O)O	True
Xylitol	Sweet	Rojas et al. (2017)	OCC(C(C(CO)O)O)O	OCC(C(C(CO)O)O)O	True
Stevioside	Sweet	Rojas et al. (2017)	OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)OC1OC(CO)C(C(C1O)O)O	OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)OC1OC(CO)C(C(C1O)O)O	True
Steviolbioside	Sweet	Rojas et al. (2017)	OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)O)C(C(C1O)O)OC1OC(CO)C(C(C1O)O)O	OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)O)C(C(C1O)O)OC1OC(CO)C(C(C1O)O)O	True
Rebaudioside A	Sweet	Rojas et al. (2017)	OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)OC1OC(CO)C(C(C1O)O)O)OC1OC(CO)C(C(C1O)O)O	OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)OC1OC(CO)C(C(C1O)O)O)OC1OC(CO)C(C(C1O)O)O	True
Rebaudioside C	Sweet	Rojas et al. (2017)	OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)OC1OC(CO)C(C(C1O)O)O)OC1OC(C)C(C(C1O)O)O	OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)OC1OC(CO)C(C(C1O)O)O)OC1OC(C)C(C(C1O)O)O	True
Rebaudioside D	Sweet	Rojas et al. (2017)	OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2OC2OC(CO)C(C(C2O)O)O)O)O)C(C(C1O)OC1OC(CO)C(C(C1O)O)O)OC1OC(CO)C(C(C1O)O)O	OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2OC2OC(CO)C(C(C2O)O)O)O)O)C(C(C1O)OC1OC(CO)C(C(C1O)O)O)OC1OC(CO)C(C(C1O)O)O	True
Dulcoside A	Sweet	Rojas et al. (2017)	OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O	OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O	True
Glycyrrhizin	Sweet	Rojas et al. (2017)	OC1C(OC2OC(C(=O)O)C(C(C2O)O)O)C(OC(C1O)C(=O)O)OC1CCC2(C(C1(C)C)CCC1(C2C(=O)C=C2C1(C)CCC1(C2CC(C)(CC1)C(=O)O)C)C)C	OC1C(OC2OC(C(=O)O)C(C(C2O)O)O)C(OC(C1O)C(=O)O)OC1CCC2(C(C1(C)C)CCC1(C2C(=O)C=C2C1(C)CCC1(C2CC(C)(CC1)C(=O)O)C)C)C	True
Hernandulcin	Sweet	Rojas et al. (2017)	CC(=CCCC(C1CCC(=CC1=O)C)(O)C)C	CC(=CCCC(C1CCC(=CC1=O)C)(O)C)C	True
Fructose	Sweet	Rojas et al. (2017)	OCC1OC(C(C1O)O)(O)CO	OCC1OC(C(C1O)O)(O)CO	True
Glucose	Sweet	Rojas et al. (2017)	OCC1OC(O)C(C(C1O)O)O	OCC1OC(O)C(C(C1O)O)O	True
Xylose	Sweet	Rojas et al. (2017)	OC1COC(C(C1O)O)O	OC1COC(C(C1O)O)O	True
Maltose	Sweet	Rojas et al. (2017)	OCC1OC(O)C(C(C1OC1OC(CO)C(C(C1O)O)O)O)O	OCC1OC(O)C(C(C1OC1OC(CO)C(C(C1O)O)O)O)O	True
Lactulose	Sweet	Rojas et al. (2017)	OCC1OC(C(C1OC1OC(CO)C(C(C1O)O)O)O)(O)CO	OCC1OC(C(C1OC1OC(CO)C(C(C1O)O)O)O)(O)CO	True
Lactosucrose	Sweet	Rojas et al. (2017)	OCC1OC(OC2(CO)OC(C(C2O)O)CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)O)O	OCC1OC(OC2(CO)OC(C(C2O)O)CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)O)O	True
Naringin	Bitter	Rojas et al. (2017)	OCC1OC(Oc2cc(O)c3c(c2)OC(CC3=O)c2ccc(cc2)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O	OCC1OC(Oc2cc(O)c3c(c2)OC(CC3=O)c2ccc(cc2)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O	False
Limonin	Bitter	Rojas et al. (2017)	O=C1OCC23C(C1)OC(C2CC(=O)C1(C3CCC2(C31OC3C(=O)OC2c1cocc1)C)C)(C)C	O=C1OCC23C(C1)OC(C2CC(=O)C1(C3CCC2(C31OC3C(=O)OC2c1cocc1)C)C)(C)C	False
Poncirin	Bitter	Rojas et al. (2017)	OCC1OC(Oc2cc3OC(CC(=O)c3c(c2)O)c2ccc(cc2)OC)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O	OCC1OC(Oc2cc3OC(CC(=O)c3c(c2)O)c2ccc(cc2)OC)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O	False
Neoeriocitrin	Bitter	Rojas et al. (2017)	OCC1OC(Oc2cc(O)c3c(c2)OC(CC3=O)c2ccc(c(c2)O)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O	OCC1OC(Oc2cc(O)c3c(c2)OC(CC3=O)c2ccc(c(c2)O)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O	False
Quinine	Bitter	Rojas et al. (2017)	C=CC1CN2CCC1CC2C(c1ccnc2c1cc(OC)cc2)O	C=CC1CN2CCC1CC2C(c1ccnc2c1cc(OC)cc2)O	False
Divinyl glycol	Bitter	Rojas et al. (2017)	C=COCCOC=C	C=COCCOC=C	False
