name	orig_taste	reference	smiles	can-smiles	In Bitter Domain	taste	orig_idx	EA(eV)	IP(eV)	CNS	dip^2/V	CIQPlogS	RuleOfThree	RuleOfFive	PSA	HumanOralAbsorption	PercentHumanOralAbsorption	SAfluorine	SAamideO	#stars	#amine	#amidine	#acid	#amide	#rotor	#rtvFG	#metab	#NandO	#ringatoms	#in34	#in56	#noncon	#nonHatm	QPpolrz	QPlogPC16	QPlogPoct	QPlogPw	QPlogPo/w	QPlogS	QPlogHERG	QPPCaco	QPlogBB	QPPMDCK	QPlogKp	QPlogKhsa	dipole	SASA	FOSA	FISA	PISA	WPSA	volume	donorHB	accptHB	ACxDN^.5/SA	glob	MW	AlogP	RB	PSA	Estate	MR	Polar	Num aromatic rings	RingCount	ChiralCenterCount	HeavyAtomCount	Total charge
D-Fructose	Non-bitter	Phyto-Dictionary	OC[C@]1(O)[C@@H](O)[C@H](O)[C@@H](CO1)O	OC[C@@]1(O)OC[C@H]([C@H]([C@@H]1O)O)O	1.0	False	1606	-1.982	10.712	-2.0	0.040738699999999996	-0.583	0.0	0.0	110.38	2.0	53.32899999999999	0.0	0.0	3.0	0.0	0.0	0.0	0.0	6.0	1.0	4.0	6.0	6.0	0.0	6.0	5.0	12.0	12.24	6.25	15.876	16.145	-1.6980000000000002	-0.8170000000000001	-2.565	107.027	-1.376	44.192	-4.765	-0.862	4.7589999999999995	349.246	141.885	207.361	0.0	0.0	555.876	5.0	8.3	0.05314119999999999	0.9361636000000001	180.1559	-2.5636	1	110.38	41.748999999999995	36.3608	14.832	0	1	4	12	0
D-Glucose	Non-bitter	Phyto-Dictionary	OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@H](O1)O	OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@@H]1O)O)O	1.0	False	908	-2.15	10.888	-2.0	0.0066055	-0.28	0.0	0.0	110.38	2.0	47.852	0.0	0.0	4.0	0.0	0.0	0.0	0.0	6.0	1.0	4.0	6.0	6.0	0.0	6.0	5.0	12.0	12.388	6.341	16.551	18.128	-2.193	-1.0390000000000001	-2.6510000000000002	76.84899999999999	-1.51	30.893	-5.045	-0.86	1.923	352.798	130.267	222.53099999999998	0.0	0.0	559.5740000000001	5.0	10.2	0.0646486	0.9308453999999999	180.1559	-2.5134	1	110.38	41.665	35.9234	14.832	0	1	5	12	0
D-Mannose	Non-bitter	Phyto-Dictionary	OC[C@@H]1[C@@H](O)[C@H](O)[C@H](O)[C@H](O1)O	OC[C@H]1O[C@H](O)[C@H]([C@H]([C@@H]1O)O)O	1.0	False	146	-2.313	10.765999999999998	-2.0	0.0097231	-0.28	0.0	0.0	110.38	2.0	48.001999999999995	0.0	0.0	4.0	0.0	0.0	0.0	0.0	6.0	1.0	4.0	6.0	6.0	0.0	6.0	5.0	12.0	12.374	6.327999999999999	16.585	18.123	-2.19	-1.0390000000000001	-2.656	78.157	-1.506	31.462	-5.03	-0.861	2.332	352.782	131.024	221.75799999999998	0.0	0.0	559.246	5.0	10.2	0.06465159999999999	0.9305242	180.1559	-2.5134	1	110.38	41.665	35.9234	14.832	0	1	5	12	0
D-Mannose	Bitter	Phyto-Dictionary	OC[C@@H]1[C@@H](O)[C@H](O)[C@H](O)[C@H](O1)O	OC[C@H]1O[C@H](O)[C@H]([C@H]([C@@H]1O)O)O	1.0	True	146	-2.313	10.765999999999998	-2.0	0.0097231	-0.28	0.0	0.0	110.38	2.0	48.001999999999995	0.0	0.0	4.0	0.0	0.0	0.0	0.0	6.0	1.0	4.0	6.0	6.0	0.0	6.0	5.0	12.0	12.374	6.327999999999999	16.585	18.123	-2.19	-1.0390000000000001	-2.656	78.157	-1.506	31.462	-5.03	-0.861	2.332	352.782	131.024	221.75799999999998	0.0	0.0	559.246	5.0	10.2	0.06465159999999999	0.9305242	180.1559	-2.5134	1	110.38	41.665	35.9234	14.832	0	1	5	12	0
L-Rhamnose	Non-bitter	Phyto-Dictionary	C[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@H](O1)O	O[C@H]1[C@H](C)O[C@@H]([C@@H]([C@@H]1O)O)O	1.0	False	191	-2.154	10.716	-2.0	0.0605137	-0.369	0.0	0.0	90.15	2.0	59.726000000000006	0.0	0.0	3.0	0.0	0.0	0.0	0.0	4.0	1.0	3.0	5.0	6.0	0.0	6.0	5.0	11.0	12.838	5.553999999999999	14.905999999999999	15.085	-1.547	-0.968	-2.65	217.577	-1.023	95.145	-4.3580000000000005	-0.857	5.71	343.967	169.097	174.86900000000003	0.0	0.0	538.744	4.0	8.5	0.049423400000000006	0.9309002000000001	164.1565	-1.6252	0	90.15	36.165	34.3791	14.195	0	1	5	11	0
D-Ribulose	Non-bitter	Phyto-Dictionary	OCC(=O)[C@H](O)[C@H](O)CO	OC[C@H]([C@H](C(=O)CO)O)O	1.0	False	2491	-0.17300000000000001	10.767999999999999	-2.0	0.06516849999999999	-0.23399999999999999	0.0	0.0	97.99	2.0	49.618	0.0	0.0	2.0	0.0	0.0	0.0	0.0	8.0	1.0	4.0	5.0	0.0	0.0	0.0	0.0	10.0	9.761000000000001	5.43	12.16	12.394	-1.787	-0.061	-2.832	71.042	-1.7009999999999998	28.378	-4.919	-1.125	5.855	342.676	116.54700000000001	226.12900000000002	0.0	0.0	526.044	3.0	7.8	0.039425	0.9196633	150.1299	-2.5027	4	97.99	38.333	31.5993	12.583	0	0	2	10	0
D-Xylose	Non-bitter	Phyto-Dictionary	O[C@@H]1[C@@H](O)[C@@H](O)OC[C@H]1O	O[C@@H]1CO[C@@H]([C@@H]([C@H]1O)O)O	1.0	False	1842	-2.233	10.989	-1.0	0.0052196000000000005	-0.309	0.0	0.0	90.15	2.0	58.696999999999996	0.0	0.0	5.0	0.0	0.0	0.0	0.0	4.0	1.0	3.0	5.0	6.0	0.0	6.0	5.0	10.0	10.136000000000001	5.2860000000000005	13.270999999999999	14.991	-1.689	-0.8590000000000001	-2.008	212.067	-0.9229999999999999	92.544	-4.38	-0.753	1.568	301.728	125.684	176.044	0.0	0.0	471.222	4.0	8.5	0.05634209999999999	0.9705834999999999	150.1299	-2.0027	0	90.15	34.332	29.9609	12.36	0	1	4	10	0
Lactose	Non-bitter	Phyto-Dictionary	O[C@@H](O1)[C@H](O)[C@@H](O)[C@@H]([C@H]1CO)O[C@H](O2)[C@H](O)[C@@H](O)[C@@H](O)[C@H]2CO	OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@H](CO)[C@@H]([C@@H]([C@H]1O)O)O)O)O	0.0	False	1034	-1.725	10.614	-2.0	0.025082	0.11699999999999999	2.0	2.0	189.53	1.0	0.914	0.0	0.0	4.0	0.0	0.0	0.0	0.0	12.0	2.0	7.0	11.0	12.0	0.0	12.0	10.0	23.0	24.291999999999998	11.100999999999999	30.059	30.505	-3.625	-1.251	-3.425	15.114	-2.699	5.327000000000001	-5.841	-1.28	4.89	530.5169999999999	233.50900000000001	297.008	0.0	0.0	953.308	8.0	18.7	0.09969810000000001	0.8829867	342.2965	-4.2603	4	189.53	74.83	68.3367	28.253	0	2	10	23	0
Maltose	Non-bitter	Phyto-Dictionary	O[C@@H](O1)[C@H](O)[C@@H](O)[C@@H]([C@H]1CO)O[C@@H](O2)[C@H](O)[C@@H](O)[C@H](O)[C@H]2CO	OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@@H]1O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)O)O	0.0	False	1776	-1.6159999999999999	10.745	-2.0	0.0322879	0.11699999999999999	2.0	2.0	189.53	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	12.0	2.0	7.0	11.0	12.0	0.0	12.0	10.0	23.0	23.523000000000003	11.117	29.997	30.509	-3.6180000000000003	-1.268	-3.012	12.584000000000001	-2.6260000000000003	4.37	-5.996	-1.149	5.492000000000001	508.654	203.257	305.397	0.0	0.0	934.092	8.0	18.7	0.10398339999999999	0.9085224000000001	342.2965	-4.2603	4	189.53	74.83	68.3367	28.253	0	2	10	23	0
Melibiose	Non-bitter	Phyto-Dictionary	O[C@@H](O1)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO[C@@H](O2)[C@H](O)[C@@H](O)[C@@H](O)[C@H]2CO	OC[C@H]1O[C@H](OC[C@H]2O[C@H](O)[C@@H]([C@H]([C@@H]2O)O)O)[C@@H]([C@H]([C@H]1O)O)O	0.0	False	1003	-2.074	10.607999999999999	-2.0	0.012852	0.11699999999999999	2.0	2.0	189.53	1.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	12.0	2.0	7.0	11.0	12.0	0.0	12.0	10.0	23.0	24.715	11.38	30.166999999999998	30.825	-3.988	-1.294	-3.822	6.279	-3.2110000000000003	2.061	-6.582999999999999	-1.4	3.52	549.701	212.46400000000003	337.23800000000006	0.0	0.0	963.8839999999999	8.0	18.7	0.0962188	0.8584628000000001	342.2965	-4.2603	4	189.53	74.83	68.3367	28.253	0	2	10	23	0
