name	orig_taste	reference	smiles	can-smiles	taste	orig_idx	EA(eV)	IP(eV)	CNS	dip^2/V	CIQPlogS	RuleOfThree	RuleOfFive	PSA	HumanOralAbsorption	PercentHumanOralAbsorption	SAfluorine	SAamideO	#stars	#amine	#amidine	#acid	#amide	#rotor	#rtvFG	#metab	#NandO	#ringatoms	#in34	#in56	#noncon	#nonHatm	QPpolrz	QPlogPC16	QPlogPoct	QPlogPw	QPlogPo/w	QPlogS	QPlogHERG	QPPCaco	QPlogBB	QPPMDCK	QPlogKp	QPlogKhsa	dipole	SASA	FOSA	FISA	PISA	WPSA	volume	donorHB	accptHB	ACxDN^.5/SA	glob	MW	AlogP	RB	PSA	Estate	MR	Polar	Num aromatic rings	RingCount	ChiralCenterCount	HeavyAtomCount	Total charge
Sucrose	Sweet	Rojas et al. (2017)	OCC1OC(C(C1O)O)(CO)OC1OC(CO)C(C(C1O)O)O	OCC1OC(C(C1O)O)(CO)OC1OC(CO)C(C(C1O)O)O	True	1999	-1.6569999999999998	10.323	-2.0	0.0534991	-0.384	2.0	2.0	189.53	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	13.0	2.0	8.0	11.0	11.0	0.0	11.0	9.0	23.0	23.506	11.129000000000001	29.156	28.46	-3.6910000000000003	-0.1	-3.4019999999999997	12.773	-2.8169999999999997	4.441	-5.8870000000000005	-1.248	7.127999999999999	528.307	223.59400000000002	304.71299999999997	0.0	0.0	949.699	8.0	16.8	0.089943	0.8844413000000001	342.2965	-4.3105	5	189.53	74.914	68.7741	28.253	0	2	9	23	0
Sucralose / 4,1',6'-Trichloro-galactosucrose	Sweet	Rojas et al. (2017)	ClCC1OC(C(C1O)O)(CCl)OC1OC(CO)C(C(C1O)O)Cl	ClCC1OC(C(C1O)O)(CCl)OC1OC(CO)C(C(C1O)O)Cl	True	280	-0.885	10.247	-2.0	0.0215412	-2.7510000000000003	0.0	0.0	128.84	3.0	68.638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	3.0	5.0	8.0	11.0	0.0	11.0	9.0	23.0	28.421999999999997	11.019	23.622	19.346	0.053	-2.42	-3.1510000000000002	205.199	-1.033	531.259	-4.024	-0.772	4.623	534.6419999999999	215.722	177.55200000000002	0.0	141.368	992.328	5.0	11.7	0.0489337	0.8999239	397.6335	-0.6967	5	128.84	69.247	77.9271	32.251999999999995	0	2	9	23	0
Aspartame/Aspartyl-phenylalanine methylester	Sweet	Rojas et al. (2017)	COC(=O)C(NC(=O)C(CC(=O)O)N)Cc1ccccc1	COC(=O)C(NC(=O)C(CC(=O)O)N)Cc1ccccc1	True	2652	-0.008	9.716000000000001	-2.0	0.0180613	-1.5819999999999999	1.0	0.0	123.17	2.0	35.191	0.0	26.253	0.0	1.0	0.0	1.0	1.0	8.0	1.0	6.0	7.0	6.0	0.0	6.0	0.0	21.0	28.866	10.349	16.094	12.704	-0.855	-1.425	-2.035	5.5	-1.236	4.228	-5.772	-0.6779999999999999	4.165	541.165	167.011	194.78	179.375	0.0	960.6239999999999	2.25	5.75	0.0159378	0.8700359000000001	294.3031	-1.6835	8	123.17	63.333999999999996	69.1179	32.249	1	1	2	21	0
Tagatose	Sweet	Rojas et al. (2017)	OCC1(O)OCC(C(C1O)O)O	OCC1(O)OCC(C(C1O)O)O	True	644	-2.137	10.69	-2.0	0.0365479	-0.583	0.0	0.0	110.38	2.0	54.26	0.0	0.0	3.0	0.0	0.0	0.0	0.0	6.0	1.0	4.0	6.0	6.0	0.0	6.0	5.0	12.0	12.151	6.257000000000001	15.777000000000001	16.109	-1.662	-0.8059999999999999	-2.474	117.462	-1.325	48.867	-4.687	-0.848	4.498	346.23	143.13	203.101	0.0	0.0	553.651	5.0	8.3	0.053604099999999995	0.9417969999999999	180.1559	-2.5636	1	110.38	41.748999999999995	36.3608	14.832	0	1	4	12	0
Isomaltulose/Palatinose	Sweet	Rojas et al. (2017)	OCC1OC(OCC2OC(C(C2O)O)(O)CO)C(C(C1O)O)O	OCC1OC(OCC2OC(C(C2O)O)(O)CO)C(C(C1O)O)O	True	649	-2.004	10.395999999999999	-2.0	0.019779599999999998	-0.384	2.0	2.0	189.53	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	13.0	2.0	7.0	11.0	11.0	0.0	11.0	9.0	23.0	24.58	11.262	28.988000000000003	28.528000000000002	-3.602	-0.35	-3.87	12.777999999999999	-2.995	4.4430000000000005	-5.8870000000000005	-1.367	4.395	556.4159999999999	251.72	304.697	0.0	0.0	976.54	8.0	16.8	0.08539930000000001	0.8555105	342.2965	-4.3105	5	189.53	74.914	68.7741	28.253	0	2	9	23	0
Trehalose	Sweet	Rojas et al. (2017)	OCC1OC(OC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)O	OCC1OC(OC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)O	True	366	-2.01	10.315999999999999	-2.0	0.0088991	0.11699999999999999	2.0	2.0	189.53	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	12.0	2.0	8.0	11.0	12.0	0.0	12.0	10.0	23.0	24.253	11.095999999999998	29.829	30.578000000000003	-3.741	-0.971	-3.6180000000000003	12.600999999999999	-2.843	4.376	-5.995	-1.338	2.911	537.415	232.08	305.335	0.0	0.0	952.341	8.0	18.7	0.09841860000000001	0.8710648999999999	342.2965	-4.2603	4	189.53	74.83	68.3367	28.253	0	2	10	23	0
Acesulfame potassium	Sweet	Rojas et al. (2017)	CC1=CC(=O)[N-]S(=O)(=O)O1.[K+]	O=C1C=C(C)OS(=O)(=O)[N-]1.[K+]	True	592	1.483	10.725999999999999	-1.0	0.020041299999999998	-0.903	0.0	0.0	68.82	2.0	59.292	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	6.0	0.0	6.0	1.0	10.0	13.593	4.563	8.912	8.947000000000001	-1.062	-0.83	-2.9939999999999998	142.797	-0.96	61.871	-4.9719999999999995	-0.895	3.117	324.361	92.38799999999999	194.15599999999998	35.847	1.969	484.87699999999995	1.0	5.5	0.016956400000000003	0.920219	162.1439	-0.349	0	68.82	32.751	30.5059	12.673	0	1	0	10	-1
Sodium cyclamate	Sweet	Rojas et al. (2017)	C1CCC(CC1)NS(=O)(=O)[O-].[Na+]	[O-]S(=O)(=O)NC1CCCCC1.[Na+]	True	1661	0.35	9.836	-1.0	0.027474900000000003	-1.222	0.0	0.0	77.61	2.0	66.9	0.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	4.0	6.0	0.0	6.0	6.0	11.0	15.731	5.317	10.264000000000001	8.312999999999999	0.6509999999999999	-1.3869999999999998	-1.157	104.539	-0.779	56.438	-3.9139999999999997	-0.7809999999999999	4.043	375.334	227.445	145.547	0.0	2.342	594.992	2.0	4.5	0.016955500000000002	0.9114952	178.2294	0.1264	2	77.61	35.25	38.6517	16.086	0	1	0	11	-1
Neohesperidine dihydrochalcone	Sweet	Rojas et al. (2017)	OCC1OC(Oc2cc(O)c(c(c2)O)C(=O)CCc2ccc(c(c2)O)OC)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O	OCC1OC(Oc2cc(O)c(c(c2)O)C(=O)CCc2ccc(c(c2)O)OC)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O	True	1520	0.262	8.529	-2.0	0.0392032	-4.613	2.0	3.0	245.29	1.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	19.0	2.0	12.0	15.0	24.0	0.0	24.0	10.0	43.0	49.93899999999999	18.717	38.175	29.837	-0.903	-2.488	-5.377000000000001	3.577	-4.409	1.122	-5.994	-1.158	8.115	859.5239999999999	385.469	363.004	111.051	0.0	1679.957	7.0	19.05	0.0586389	0.7951319	612.5764	-0.1239	10	245.29	123.666	142.3235	63.438	2	4	10	43	0
Neotame	Sweet	Rojas et al. (2017)	COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NCCC(C)(C)C	COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NCCC(C)(C)C	True	1475	0.075	9.448	-2.0	0.027229700000000003	-3.0780000000000003	1.0	0.0	112.14	2.0	54.191	0.0	24.143	0.0	1.0	0.0	1.0	1.0	11.0	1.0	5.0	7.0	6.0	0.0	6.0	0.0	27.0	38.383	12.232000000000001	18.041	10.657	1.1320000000000001	-2.875	-2.144	14.187000000000001	-1.1079999999999999	11.293	-4.852	-0.131	5.847	660.692	366.523	153.15	141.02	0.0	1255.711	1.25	6.25	0.0105764	0.8519726000000001	378.4626	0.3091	12	112.14	72.584	96.9115	43.25899999999999	1	1	2	27	0
